question,answer
A Floresta Nacional da Amazonas é em qual país,Brasil
onde foi assinado o acordo de mudança climática das Nações Unidas?,Rio de Janeiro
Quais dois países reivindicam a maioria da bacia amazônica,Colômbia
Parque Nacional Pico da Neblina é em que região sul-americana,Amazonas.
As montanhas do leste de Tepuis estão entre a Venezuela e que outro país,Brasil
Qual rio está no lado norte de La Loma Larga,Rio de Santa Catarina
Em que guerra a rainha amazônica lutava contra os trojans,a Guerra de Tróia
Qual é o clima da região nordeste do Brasil?,quente e semi-árido
Qual é o nome da floresta tropical localizada na floresta amazônica,floresta amazônica
Quem é responsável pela implementação da política energética do Brasil,O Ministério das Minas e Energia
Quem se tornou o primeiro presidente brasileiro a visitar a Ucrânia,Presidente Fernando Henrique Cardoso
O tanager brasileiro é um membro da qual a família de aves,Thraupidae.
"Em 2012, a Indonésia superou qual outro país em termos de desmatamento",Brasil
Quando foi o beijo noturno no Brasil,27 de janeiro de 2013.
Quando a maior parte da terra no Brasil desmatou,1970.
O que causou o acidente de trem de 1958 Rio de Janeiro,Erro de sinalização
Que tipo de peixe vive no rio Uatumã no Brasil,Bass de pavão
Quem é dono do hotel do tribunal brasileiro em Palm Beach Florida,Confiança Nacional pela Preservação Histórica
onde é a maior praia do Rio Grande do Norte,Carnatal.
Que tipo de porco é Monica Simmons no Lord Emsworth,Amazônia
Quantas espécies de aves existem na Universidade Federal de Minas Gerais,cerca de 150.
Qual foi a corrida final da temporada de 2008 da Fórmula 1,Grand Prix brasileiro
Quando o desmatamento ilegal da floresta amazônica começou novamente,2015.
Quantas espécies de pássaros existem na floresta amazônica,Mais de 1.300.
Qual foi o nome do submarino brasileiro que afundou o robin moor,SS Delargentino.
Quantos projetos de restauração do ecossistema existem na Mata Atlântica,18.
Qual é o nome da ilha onde a Marinha brasileira usa quartos,Ilha de Alcatrazes.
Qual rio se junta ao Rio Grande em Minas Gerais,Rio de Paraná
Onde a viagem para o mar do rio acontece,"Manaus, Brasil."
Qual é o status do gato pantanal?,Quase ameaçada
Em qual país sean entregou ao pai em dezembro de 2009,Brasil
O rio Japurá faz parte da fronteira entre o Brasil e que outros,Colômbia
Quão longe é louco gigante branco da Amazônia,mais de 1500 milhas
Qual foi o apelido de Russ Meyer para suas atrizes,Amazônia
Quem foi eliminado do Brasil próxima Top Model Season 3,Liana
Barcelos Amazonas é uma cidade localizada em que país,Brasil
Quantos cidadãos brasileiros cruzaram a ponte do rio Oiapoque,mais de 200
Qual foi a capital do Império de Kichwa Amazônica?,QUITO.
quanto tempo Louise Sutherland morava na floresta amazônica,muitos anos
O que o NEP protege nas cidades brasileiras?,o ambiente natural
O Morro do Careca é em que rio,Rio Grande do Norte
Onde estão as línguas amazônicas encontradas no mundo?,Maior Amazônia
A área de proteção ambiental da Serra do Mar faz parte do que,Reserva da Biosfera da Mata Atlântica
Quem está investigando o fogo no SS Brasil,O NTSB.
Qual é o crescimento médio da árvore de fogo brasileira,6 metros por ano
Que país tem a montanha mais alta do Brasil,Venezuela
Quais são as áreas centrais do bioma cerrado,platôs.
Qual é o nome da tribo amazônica na série de TV Inami,os belacaibos.
Onde os amanayes vivem na bacia amazônica?,nordeste do Brasil.
Qual é a praia mais popular no Brasil?,Praia de Pipa.
Onde está Florencia en Amazonas,Manaus.
Onde Jorge Amado escreveu o mar da morte?,"Salvador, Bahia."
Qual é o nome do vulcão na floresta amazônica,Sangay.
Que tipo de chuvas causam inundações no Paraná,Chuva forte
que cor são as orelhas de gato pantanal,avermelhado
Amazonas é um estado localizado em que país,Brasil
Qual é o nome da empresa de energia na Amazonas?,Eletronorte.
Quem realizou a pesquisa de 2008 sobre diáspora libanesa no Brasil,IBGE.
onde o oceano HMS vai ser,Rio de Janeiro
Quando foi fundada a Amazonas filarmonic,26 de setembro de 1997
O rio Takutu conecta a Guiana a que outro país,Brasil
Quando o rio Piratini no Brasil enchente,1992.
onde está o anfisbaena ridleyi encontrado,Fernando de Noronha
Quanto das exportações do Brasil vêm de desmatamento,5%
qual é o nome da parte sul do oceano pharusiano,O transeamento trans
Qual é o nome da colina na costa brasileira que Cabral viu,Monte Pascoal.
Quando a doença de Chagas apareceu pela primeira vez no Brasil?,1909.
"segundo a lenda amazônica, o que era o sabor de mandioca",delicioso
Quando foi o mapa da costa brasileira usado pela primeira vez,1500.
Que tipo de ambiente o Brasil,alta biodiversidade
Em que estado do Brasil é a praia de Tambaba,Paraiba.
A ilha da costa do Brasil é a única casa do qual veneno crítico,Bothrops insularis.
O parque estadual de Matupiri é em que estado sul-americano,"Amazonas, Brasil"
Xuxa é um cientista brasileiro lutando contra a exploração do que,Biodiversidade
onde eles filmam as telenovelas em pantanal,dentro de casa
Qual é o nome do conceito que promove a sustentabilidade no Brasil,Governança ambiental
Qual é o pico mais alto nas montanhas de Pacaima,Monte Roraima.
Qual é o ponto mais alto do rio Mazaruni,Mt.Roraima.
O que é uma parte central das celebrações de Alagoas no Brasil,fogueiras
em qual ilha é reservatório de Swithland,Ilha Brasil
quanto tempo Nate Diaz trem no Brasil,muitos anos
Qual província geológica do nordeste do Brasil está situada na costa da linha de Camarões,Borborema
Quanto tempo dura o litoral da Bahia?,"1,103 km."
Quando o Brasil passou pela racionamento de energia?,2001.
Quando o Brasil banir crueldade para animais domésticos,1998.
Quem são os criadores do arrasto brasileiro Super Drags,Fernando Mendonça.
Os Touros é a cidade sul-americana mais próxima da África.em que rio é,Rio Grande do Norte
onde os wai wai fazem suas flautas,floresta amazônica
Quando começa a temporada de 2014 moto2 no Brasil?,28 de setembro
Brasileiros nascidos em que país são chamados ucranianos,Ucrânia
Qual é o nome da mensagem da conferência da Amazônia no Rio de,Educação para preservação
Quando o Brasil ganhou a soberania do oceano fora da Guiana?,1968.
Qual país tem a maior biodiversidade do mundo,Brasil
Onde os capuchos robustos evoluíram de,Mata Atlântica
O estado do Amazonas é nomeado após o qual o rio,rio Amazonas
Manaus está localizada em que país da Amazônia,Brasil
Qual é o Ministério do Meio Ambiente brasileiro chamado,MMA
O Rio Chui sobe nas planícies costeiras arenosas da qual o estado brasileiro,Rio Grande do Sul
onde está o titi macaco encontrado em uma margem do rio,Brasil
O rio Amazonas é em que país sul-americano,Brasil
"Tarapoto, México, é um destino turístico popular em que a floresta tropical",Floresta amazônica
Quais são os povos indígenas da floresta nacional de Roraima,Yanomami.
Qual a porcentagem da energia do Brasil vem da biomassa,27%
Quanta energia eólica o Brasil produziu até 2015?,mais de 8.700 MW
Quando foi construído arena pantanal no Brasil,26 de abril de 2014.
O que precisa ser feito se o desmatamento for interrompido no Brasil,uma reforma do sistema mundial de mercado
Qual linguagem é usada para descrever a floresta amazônica,português
Qual é o parente mais próximo da montanha Tapir,a tapir brasileira
O que está poluindo os rios do Kayapo no Brasil,mineração de ouro
Onde foi a primeira turbina de energia eólica instalada no Brasil,Arquipélago de Fernando de Noronha
onde está a floresta amazônica localizada em um mapa do mundo,Brasil
Onde as equipes se apresentam no Festival Amazônico?,O Bumbródromo.
Qual é o nome do grupo amazônico de Wai Wai?,Arara
As montanhas do Acarai estão na fronteira da Guiana e em que outro país,Brasil
onde é o maior festas fã no Rio de Janeiro,Praia de Copacabana
Caatinga está localizado em que país do mundo,Brasil
Qual rio atravessa o estado português de Mato Grosso do Sul,Rio de Paraná
Quantas pessoas podem ter vivido na civilização amazônica,5 milhões
Quem construiu a Bahia Honda Key Bridge em Key West,Empresa Railway da Flórida East Coast
Quem joga Cassiano na Brasileira Telenovela Flora do Carib,Henri Castelli.
Qual cidade era a capital do estado do Amazonas,Manaus.
"No início do século XX, a economia brasileira estava sob grande tensão devido a",T.
Quantos jogos de fase de grupo foram jogados na Arena Pantanal em Brasília,Quatro.
Quem interpreta o antagonista em Las Amazonas,Miriam Ochoa.
Quão longe são as ilhas de Alcatrazes de São Sebulio,35 km
Quando foi a redução da emissão de gás de aterro introduzida no Brasil,início de 2000.
A ilha de 'Ilha da Queimada Grande' está fora da costa,Brasil
que pagou por estradas no Brasil para desmoronar a floresta amazônica,desenvolvedores
onde eles encontraram as plantas em cinco voltaram,a floresta amazônica
Quantos paraguaios cruzaram o rio Paraná em 29 de janeiro de 18,400.
Qual é a principal causa da perda da floresta amazônica,desmatamento
Leopardus colocola braccatus é o nome científico para o qual o gato,O gato pantanal
onde começa o rio Sincura e fim,Highlands de Chapada Diamantina.
Quantos grandes corredores ecológicos existem na floresta amazônica,Sete
quem descobriu que a maior parte da floresta amazônica é registrada,Leydimere Oliveira.
Qual é o termo para o genocídio dos povos indígenas no Brasil,genocídio
Quantas línguas indígenas vivas existem no Brasil,188.
Qual país foi o cenário para o filme de 1985 '12 Monkeys ',Brasil
A Lagoa Mirim no Brasil é separada de qual corpo de água,oceano Atlântico
O rio Tocantins é a artéria central fluvial de qual país,Brasil
Qual é a bandeira brasileira amarela e verde chamada,Um auriverde.
Qual é o termo usado para se referir às línguas indígenas da maior Amazônia,Línguas amazônicas
A ilha de Noronhomys é em que país,Brasil
quantas temporadas você é o único brasil,T.
quando é que os amazônidas primeira biochar uso,Pré-colombiano
Qual é o significado do Rio Grande do Norte,Grande rio do norte
O que significa cigs no Brasil?,Centro de Treinamento da Warfare da selva
Quanto tempo demorou para construir a rodovia amazônica?,dez anos
Qual é o clima em Taquaritinga Brasil,tropical
Quando a temporada 1 do próximo modelo de topo do Brasil do Brasil,3 de outubro de 2007.
Como os assentos alocados na eleição geral brasileira,quociente simples.
em que país sul-americano é o rio Paraná,Brasil
onde está a palmeira oenocarpus bataua encontrada,floresta amazônica
A lagoa Mirim no Brasil é separada de qual oceano,oceano Atlântico
onde é o pássaro envelhecido esverdeado encontrado,sul do Brasil
Que rio flui debaixo da montanha em Monterrey,Rio de Santa Catarina
O Manakin Araripe é nomeado após o qual o zoólogo brasileiro,Werner Bokermann.
O que os povos indígenas brasileiros conseguiram sobreviver,as florestas
Onde está localizada a usina nuclear do Brasil?,Angra
Quantos lugares a cidade do Rio de Janeiro terá,1.780.
onde eles foram em verde inferno,a floresta amazônica
onde começa a paraíba do sul do rio,Sudeste do Brasil
A grande escarpa corre ao longo da costa leste de que país sul-americano,Brasil
Quando Portugal chegou à costa leste do Brasil?,22 de abril de 1500.
Qual é o apelido de Chelsea Brazilian Futebol Santos do N,Ramires.
Há quanto tempo as leis sobre florestas estão em vigor no Brasil,Desde a década de 1930.
De que país o prato amazônico Tacacho vem,Peru
onde Rick perigoso ir em invasores da arca perdida,a selva amazônica
Qual é o nome da baía no Brasil?,Baía de todos os santos
qual país sul-americano tem a maior população ucraniana,Brasil
Onde está a única usina nuclear do Brasil?,Angra
quão longe acima do nível do mar é o presidente Kennedy espirito santo,55 metros
Qual floresta cobre toda a cidade de Ilhabela,Mata Atlântica
Quantos macacos amazônicos foram nomeados após Russell Mittermeier,seis
Qual é a maior ilha do arquipélago do Brasil?,Trindade
Quando a WEC entraram pela Amazônia como organização?,1922.
Quem liderou as primeiras expedições espanholas ao Amazonas,Francisco de Orellana
que administra a instalação de enriquecimento de urânio do Brasil,Comissão Brasileira de Energia Nuclear
Quantas formações rochosas estão na cordilheira de Mantiqueira,três
Qual é o nome do refúgio da vida selvagem da costa do Brasil?,O refúgio de vida selvagem de Santa Cruz
Onde está o açafrão Crowned Tyrant Manakin encontrado no Brasil,Amazonas.
Quantos povos indígenas fizeram a visita de John Hemming no Brasil?,45.
Quem foi a primeira pessoa a visitar Ilha Rugged,Espirito Santo.
Qual estado do Brasil tem o litoral mais longo,Bahia.
Quanto a França gastaria no submarino do Brasil?,US $ 12 bilhões
Onde os pássaros de eufonia violáceam vivem na América do Sul,Norte do Brasil
Quantos caimans vive no Pantanal,10 milhões
Qual rio forma o limite norte da ecorregião da Bahia,Rio de Itapicuru
Paracoccidioides Brasiliensis é o agente causador de que doença,Paracoccidioidomicose.
Quantas usinas nucleares o Brasil será construída por 2025,Sete
Qual é o nome do Brazilian Court Hotel em Palm Beach Florida,O Brazilian Court Hotel
Parque Nacional Semper Vivas é em qual bioma,Cerrado Bioma.
onde é o manatee amazônico medido de comprimento,ao longo da curvatura do corpo
Quando o Brasil designou Fernando de Noronha como parque nacional,1988.
Onde estão os golfinhos do rio na América do Sul?,Brasil
qual é a ordem de las amazonas telenovelas,Casandra.
onde está o bagre pigmeu encontrado na América do Sul,Bacia do Rio da Madeira no Brasil
Quando a Amazônia de Belgrade se tornou uma área protegida?,2013.
Qual é o nome da província geológica localizada na América do Sul que contém o,Craton amazônio.
Onde está a próxima temporada do modelo do Brasil 1,Televisão da Sony Entertainment.
Quando o período amazônico começou e terminou,cerca de 3 bilhões de anos atrás
A ilha brasileira está na confluência dos quais o rio,Rio Uruguai
quanta energia o brasil usa para produzir etanol,3.63 GJ.
Quantos Yanesha estão na floresta amazônica,mais de 7.000.
A Cúpula da Terra (Conferência da ONU sobre Meio Ambiente e Desenvolvimento) foi realizada em que cidade em,Rio de Janeiro
Qual gabinete Pedro I do Brasil fogo em 1831,o gabinete liberal
Bahia Buen Suceso é uma baía em que o Estreito,Le Maire Strait.
Quando foi o corredor ecológico da Floresta do Atlântico Central estabelecido,2002.
Em qual país o boom de borracha 'Amazon' ocorreu,Brasil
O que fez com que o trem descarrilasse no Ceará,Velocidade excessiva
Quantas plantas de flores foram descobertas na Mata Atlântica entre 1990 e 2006,mais de mil.
Quando começa a chover no caatinga,O Verão
Qual é o pior desastre de trem no Brasil?,Crash de trem de aracaju.
Que doença não transmissível causa a maioria das mortes no Brasil,doenças cardiovasculares
Que pássaro é encontrado no pantanal pantanal,a arara do jacinto
Qual foi o nome do documentário da BBC que mostrou que a floresta amazônica,Histórias antinaturais
Quem dirige o parque nacional de Ubajara no Brasil,Chico Mendes Institute for Biodiversity Conservation
Qual cidade tem o maior número de ucranianos no Brasil,Prudentópolis.
O que as florestas da Amazônia têm,Biodiversidade incomparável
Quando a temporada de crescimento do chá brasileiro acontece,Setembro a abril
quem conquistou a cultura de Chachapoya no Amazonas,Inca Empire.
que tipo de animal é o Pêlo Curto Brasileiro,gato
Qual cidade no Brasil é o lar da Iranxe da Americana Indígena,Mato Grosso.
Onde fica a corrida de 150 metros realizada no Rio de Janeiro,Praia de Copacabana
Que rio Brasil ganhou independência na guerra paraguaia,Rio Paraguai
Quando foi a última vez que o Brasil tinha muita floresta,2005.
O extinto New World Monkey Propoithecus foi encontrado em qual país,Brasil
onde Roberto Burle Studor Plantas de Estudos Marx,Floresta tropical brasileira
Quando o Hy Brasil se eleva acima do oceano?,a cada sete anos
onde está localizado a Amazonas filarmônicas,Manaus.
Qual solo amazônico é caracterizado por resíduos de carvão vegetal de baixa temperatura,Terra Preta.
Qual templo famoso foi construído por Gouranga Charan Das durante o desistir,Templo de Judeu Dadhhibaman
Os goitacá são um povo indígena de qual país,Brasil
O Kanoê é um povo indígena de qual país,Brasil
O que os cerrado são usados para mantê-los aquecidos?,incêndios periódicos
Ilha brasileira está na confluência de qual rio,Rio Uruguai
quem é o autor do movimento abolicionista brasileiro para a libertação animal,Tagore Trajano.
O que aconteceu no Brasil durante a troca da dívida por natureza,desflorestamento rápido
Qual oceano é o sudeste de São Paulo,oceano Atlântico
Quem escreveu a música para o balé 'Aguas da Amazônia',Philip Vidro
Qual é o nome da corrente oceânica da Argentina,Brasil atual
O que o PEC 215 proibiu no Brasil,Expansão de áreas indígenas já existentes
onde está a Amazonas localizado em um mapa,Northern Peru.
Como a Marinha Brasileira resgatou a ilha de vigília do navio atingido?,corda e cabo
Qual é a decisão final na floresta amazônica na Colômbia?,4-3.
"em que a rede de televisão brasileira era um incêndio que irrompeu em 11 de janeiro,",Rede Globo
Qual foi o nome do fã brasileiro que jogou o fogo de artifício,Rosenery mello do nascimento
Qual porcentagem da eletricidade do Brasil vem do poder nuclear,cerca de 4%
Que tipo de cordilheira é encontrada na região de Amazonas,O.
O Ocean Paradise Diamond é de qual país,Brasil
Vencedor da próxima temporada do modelo do Brasil,Camila Trindade
Quem escreveu a Telenovela Las Amazonas,César Miguel Rondón.
Quem aboliu a engenharia operacional no estado da Amazonas,O ministério da educação
Quem é o maestro da Philharmonic da Amazonas,Luiz Fernando Malheiro.
Quando foi a última vez que o Brasil ordenou um submarino de escorpenos,2008.
Que tipo de animais moram na Bahia de las Aguilas,Vida marinha
quantas cepas chikungunya existem no Brasil,dois
Qual é o nome da empresa brasileira que produz energia nuclear,Eletronuclear.
Por que a vegetação do complexo de Pantanal é tão diversificada,falta de oxigênio
Quando Corcovado se tornou a montanha mais alta do Brasil?,1992.
Qual é o nome da tribo da Jaguar no Brasil?,Matis.
Qual foi a porcentagem de pesquisa em energia no Brasil em 2012,"0,3%"
Qual foi o nome do boom de borracha brasileiro,O boom da borracha amazônica
Quem Tara King se casa na selva amazônica,Peter casca
Há quanto tempo a floresta amazônica foi moldada,pelo menos 11.000 anos
quem é responsável pela redução das emissões do desmatamento na Amazônia,Brasil
Qual é a savana brasileira conhecida como,Cerrado
onde é o papagaio alado de Blaze encontrado no Brasil,a região do Pantanal.
onde está a mina balaio localizada no Brasil,Amazonas.
Qual porcentagem da Amazônia brasileira é protegida pelo Código Florestal,80%
Como os nativos da Amazônia cultivam pachyrhizus?,mudança de horticultura
Quais são os principais rios no arquipélago de Marajo?,Tocantins.
Qual é o nome do parque marinho em Pernambuco,Parque Nacional Fernando de Noronha Marine
Que problema ambiental atraiu a maior atenção internacional no Brasil na década de 1980,desmatamento
Qual país forneceu treinamento militar ao Exército Nacional do Suriname,Brasil
Quando Santa Catarina tem as praias mais bonitas do Brasil,Meses de verão
Quem construiu o navio de cruzeiro brasileiro Amazonas,VT Shipbuilding
Quantas aves vivem na floresta amazônica,milhares
"Qual rio inundou Uniao dos Palmares no Brasil em 2010, causando o desaparecimento de",O rio Mundau.
Quantos pontos o Brasil tem em Beach Handebol,1.
Quem ganhou a 1ª temporada da EPL no Brasil,Imortais.
Que porcentagem do Pantanal está debaixo d'água,80%
Quantas usinas nucleares são planejadas no Brasil até 2025,Sete
Qual é o programa de TV Perdido Alabama chamado,Floribama Shore.
onde é que Brasil obter sua eletricidade a partir,hidroeletricidade
onde estão os oradores de kapokng encontrados no Brasil,Roraima indígena Terra Raposa
Sugarloaf Mountain é em que cidade,"Rio de Janeiro, Brasil"
onde é o graveteiro rosa encontrado no mundo,a Mata Atlântica.
Quantas classificações a floresta amazônica tem,Quatro.
Onde é a melhor praia do Brasil localizada,Porto de Galinhas
Qual departamento da Bolívia está localizado na floresta amazônica,P.
onde está a transmissão de tv da TV na América do Sul,Satélite da Amazonas.
Qual país da América do Sul já foi governado pelo Corpo do Estado Floumers,Brasil
Quantos episódios na segunda temporada de Floribama Shore,14.
Que porcentagem da futura floresta do Atlântico tornou-se decídua durante o resfriamento de,7%
Qual é a característica de uma árvore cerrado,troncos torcidos
Qual é o nome da floresta tropical no Brasil que é a inspiração para o,floresta amazônica
Qual é o nome da capa da costa do Brasil?,Cape Orange.
Que porcentagem do Arquipélago Fernando de Noronha é um marítimo,70%
Qual é o nome do chá entheogênico amazônico?,Ayahuasca.
Eufriesea purpurata é nativa de qual país,Brasil
Quando foram os primeiros jogos de povos indígenas realizados no Brasil,1996.
Qual animal foi o primeiro caso a ser reconhecido como um autor em um brasileiro,chimpanzé
O que as corujas pigmeas brasileiras do leste comem,pequenos insetos
Quando o Brasil celebra o dia dos povos indígenas,19 de abril
Qual é o nome da tribo brasileira de brasileiros indígenas que adoravam,O tupi.
Quando os Caymans aparecem na constelação Amazônia Auriga,D.
em que cidade dos EUA faz jogador de futebol romano romano jogar pé,Praia de Miami
Que tipo de madeira os colonos portugueses extraiam da costa de Nord,Brasilwood
A guerra de Ragamuffin ocorreu em qual rio brasileiro,Rio Grande do Sul
onde é encontrada a clorofônia azul na Naped na América do Sul,a Mata Atlântica.
Onde é o Monkey Handler Handler vermelho encontrado no mundo,Brasil
Quem René Casados joga em Las Amazonas,Eduardo
Onde os capuchíns robustos evoluíram,Mata Atlântica
Quando foi o último trem descarril no Rio de Janeiro,28 de agosto de 2011.
Em que ano o Brasil rank 10 em projetos de energia limpa,2010.
Qual foi o nome não oficial dado à guarda da Amazônia?,As freiras revolucionárias
Onde foi o método antracológico da reconstrução paleoimambiental desenvolvida,Brasil
Qual é o título do romance de 1888 de Edward Bellamy sobre os Amazonas?,Olhando para trás
Quando os cerados brasileiros se tornaram ricos,1892.
Qual é a taxa de desmatamento no Jaci Paraná?,"3,74%"
Quem criou a Área de Proteção Ambiental do Banco Rio Negro,Decreto do Governador do Estado da Amazonas 16.498
Qual é o clima de Paraná como o norte da linha imaginária,temperado quente
Quem ganhou a Copa do Mundo da Praia em 2008,Brasil
Fonsecaea Pedrosoi é uma doença de qual país,Brasil
A rodovia interoceânica conecta o Brasil com qual país,Peru
Quando foi criado o Conselho Consultivo na Amazônia,26 de novembro de 2004.
Amazonas é o estado do qual país sul-americano,Brasil
Quantas espécies estão listadas como ameaçadas no Brasil,97.
Quais são as partes da floresta amazônica classificada em,Ecorregiões.
que praticou escalada de violência em vários estágios discretos,O Yanomami do Amazonas
O que causou os atrasos na qualificação para o Grande Prêmio Brasileiro de 2009,chuva
Quantas músicas existem no Brasil 6ª temporada,três
De onde vive as panaras na Amazônia?,Mato Grosso.
Quanto tempo é a praia da Bahia de Las Aguilas,8 km.
Onde fica a maioria das florestas do mundo localizadas,Brasil
qual futebolista brasileiro é famoso pelo chute do arco-íris,Neymar.
Que tipo de clima é Roxo no Rio de Janeiro,tropical
Qual é a unidade política básica do Kichwa amazônico?,ayllu.
quem compôs florencia en el amazonas,Daniel Catán.
A maior biodiversidade do planeta está presente em que estado do Brasil,Amazonas.
Por que Jamanxim National Park é importante para o ecossistema,Conservação da biodiversidade amazônica
Onde fica o rio Parnaíba localizado em um mapa do mundo,Brasil
Quanta madeira foi gravada na floresta amazônica entre 1998-2004,24 milhões de m3.
onde começa o rio Sincura,Highlands de Chapada Diamantina.
O Palácio de Santa Catarina é em qual grupo da ilha,os Açores
Qual é o assunto do ecocrítico do filme usa,Desmatamento amazônico
O que é um chá entheogênico amazônico?,Ayahuasca.
onde eles pescam em Monato Grosso do Sul,O pantanal
Qual país ganhou mais prêmios de herói mais florestais,Brasil
onde é o viaduto de Swithland em Leicestershire localizado,Ilha Brasil
Quantas borboletas estão no Museu do Brasil de Zoologia,290.000.
Onde está o HMS Ocean vai no Brasil?,Rio de Janeiro
Quão profunda é a Bahia de Ponce Ocean Ocean,150 metros
São Gabriel da Cachoeira é a segunda maior cidade em que,Amazonas.
Qual barragem é prejudicada pelo rio Paraná,Barragem Itaipu.
Qual é a etnia da mulher em bizarro,Amazônia
Quantas embarcações estão na busca e resgate da Marinha Brasileira,onze
De onde vem a Passiflora Edulis?,sul do Brasil
Onde Pedro Álvares Cabral descobrir o oceano,Brasil
Qual estado tem a maior taxa de desmatamento no Brasil,Mato Grosso.
Qual é o nome científico para ratos da Água da América do Sul,Nectomys da Mata Atlântica.
Qual país a equipe de críquete das Ilhas Cayman da Cayman derrota para ganhar sua quarta,Brasil
Quanto o governo brasileiro investiu em bem-estar animal,US $ 2 bilhões
Quantos grandes ecossistemas existem na floresta amazônica,53.
onde é o campo de treinamento do time de futebol nacional brasileiro,Teresópolis.
qual é a nacionalidade dos habitantes da costa de escravos da África Ocidental,brasileiro
Quando é o MasterChef Season 3 a partir do Brasil,15 de março de 2016
Quem é a senhora amazônica na condessa do arco de Pembroke,Cleophila
Quais dois países fronteirem na região da Amazonas,Equador
Quando o Brasil propôs um projeto de finanças direto para lidar com as emissões reduzidas do desmatamento,2006.
Qual é a característica dominante da região de Amapá,a floresta amazônica
Qual é o nome da única usina nuclear do Brasil,Angra
que ato deu à autoridade da Marinha britânica para parar e procurar qualquer brasileiro,O ato de Aberdeen de 1845
Que tipo de floresta é a América do Sul em,floresta amazônica
Qual é a tradução de jogo espanhol das Amazonas,El Juego de Las Amazonas
Qual porcentagem das espécies do mundo é encontrada na floresta amazônica,30%
Onde o Squirrel Amazon Hwarf Live no Brasil?,a bacia superior da Amazon
Qual é o nome do estado do Amazonas localizado na América do Sul,Brasil
Qual foi o meio ambiente no barroco brasileiro,pobreza e escassez
Em que país existem 672 territórios indígenas habitados por povos indígenas,Brasil
Qual foi o nome do novo campo criado pela WEC,Coração da Amazônia
O que seria necessário se o desmatamento no Brasil for interrompido,uma reforma do sistema mundial de mercado
o caranguejo de fantasma do pântano (Ucides Cordatus) é nativo a qual país,Brasil
o pássaro varzea piculet é nativo a qual país,Brasil
onde está Babitonga Bay localizada em Santa Catarina,Costa norte
De onde os judeus amazônicos começaram a estudar o judaísmo?,Iquitos.
onde estavam os primeiros jogos indígenas mundiais,"Palmas, Brasil."
Qual país tem seu próprio corpo de combate a incêndios militares,Brasil
Que tipo de floresta é a serra do mar?,Mata Atlântica
Qual é o principal tipo de vegetação no Alto Parana Atlantic,Florestas semi-decíduas
é o peixe-boi um predador aquático ou terrestre,aquático
Quando o Ministério do Meio Ambiente brasileiro mudou seu nome?,1999.
Onde a amazonita veio na indústria de joalharia,Brasil
Que montanha é o jardim botânico do Rio de Janeiro,Montanha de Corcovado.
Quem escreveu o hino do estado da Amazonas,Hernán Gruber Odremán.
Qual porcentagem das plantas vasculares na Mata Atlântica são endêmicas,40 por cento
Qual é a característica dominante da região de Amapa,a floresta amazônica
A floresta amazônica é o lar de mais de 1.300 espécies de,aves
Qual animal foi o primeiro a ser reconhecido como um autor em uma corte brasileira,chimpanzé
O território indígena Yanomami está localizado em que cidade,Rio de Janeiro
Qual é o clima de Belford Roxo Rio de Janeiro,tropical
onde está localizado o clima equatorial no Brasil,Norte do Brasil
Quantas espécies de pássaros existem em xingu-tocantins arag,527.
O Mawe são um povo indígena de qual país,Brasil
Qual é o clima de Brumado Brasil?,estepe tropical.
Qual é o nome do craton para o oeste do CR Amazônico,o congo craton.
quão longe é o rio Essequibo da fronteira brasileira,20 metros
Quão irregulares são as chuvas no Brasil em 2017,extremamente irregular
Que tipo de botas o corpo marinho brasileiro usa,Botas de combate atlas atalaia
Qual porcentagem do bioma legal da Amazônia é Pantanal,40%
Onde Lakeisha Patterson nadou nas paralímpicos?,Rio de Janeiro
quem era o imitador Batesiano de borboletas amazônicas nomeadas depois,Henry Walter Bates.
Quem foi chamado de macaco no futebol brasileiro,Neymar júnior.
Onde está Arachis Pintoi encontrado no Brasil,Vegetação cerrado
Qual foi o navio Geysir originalmente chamado,Amazônia
A floresta de Tijuca faz parte de qual cidade,Rio de Janeiro
onde está o porto de Salvador localizado no Brasil,ALL TO SAINTS BAY.
Que tipo de clima faz a tarântula do joelho branco brasileiro,Clima tropical e úmido
Quem é dono do Ranch Las Amazonas em Venezuela,Emiro lizárraga.
Qual é o nome da Mata Atlântica Brasileira Fundada por Anne,Mata Atlântica.
Quem ganhou 3ª temporada do brasileiro tem talento,Raiz Coral.
Qual é o nome da pastagem do savana no Brasil?,Cerrado
Quem era o presidente do Brasil quando o fogo do beijo noturno aconteceu,Dilma Rousseff.
Qual é a montanha mais alta do estado do Rio Grande do Sul,Morro do diabo.
Qual é o nome do sistema Savannah que cobre muito do Brasil,Cerrado
onde vivem os sapos braquycephalidae,Florestas de nuvens no sul do Brasil
Os holandeses controlavam o litoral do Rio Grande do Norte ao qual,Cabo de Santo Agostinho de Pernambuco
Quando os amazônicos brancos apareceram pela primeira vez na floresta amazônica,Século XVI.
Que país sul-americano tem sido um grande produtor de camarão marinho desde 1974,Brasil
Quem construiu fortes ao longo de áreas costeiras da África Brasileira e Ocidental para o comércio,O portugues
Qual foi o nome do hotel de tribunal brasileiro em Palm Beach Florida,O Brazilian Court Hotel
Quem está explorando terras indígenas na selva amazônica,Empresas Nacionais e Internacionais
Quem foi o governador geral do Brasil em 1625,Diogo de Mendonça Furtado
